date	Casos COVID	Afluencia Total
20200302	0.000916758	9.480588851
20200304	0.000916758	9.857001344
20200305	0	9.894739229
20200307	0	7.095552656
20200308	0.002750275	4.090174374
20200309	0.000916758	6.437791675
20200310	0.007334067	9.742549254
20200311	0.023835717	9.64906613
20200312	0.024752475	9.702684763
20200313	0.054088742	10
20200314	0.044921159	6.67342594
20200315	0.032086542	3.634222104
20200316	0.061422809	4.317966776
20200317	0.082508251	8.237645158
20200318	0.089842318	7.803307655
20200319	0.097176384	7.338239123
20200320	0.091675834	7.006077247
20200321	0.059589292	4.537518578
20200322	0.043087642	2.204282454
20200323	0.118261826	5.393443328
20200324	0.152181885	4.74399175
20200325	0.130179685	4.673461904
20200326	0.158599193	4.430756673
20200327	0.194352769	4.136837752
20200328	0.147598093	2.875012607
20200329	0.132013201	1.438488295
20200330	0.285111845	3.748483425
20200331	0.260359369	3.66238244
20200401	0.300696736	3.399418154
20200402	0.281444811	3.059248667
20200403	0.317198387	2.984884675
20200404	0.202603594	1.937757665
20200405	0.208104144	0.67968692
20200406	0.49229923	2.305974904
20200407	0.421708838	2.119265101
20200408	0.484965163	2.107756407
20200409	0.378621195	1.225511773
20200410	0.457462413	0.522641714
20200411	0.378621195	0.642527597
20200412	0.398789879	0.210327646
20200413	0.786578658	2.259574225
20200414	0.783828383	2.192440695
20200415	0.8076641	2.26387904
20200416	0.828749542	2.122034381
20200417	0.954345435	2.17532464
20200418	0.678401173	1.387662398
20200419	0.635313531	0.427180534
20200420	1.277044371	2.154091411
20200421	1.230289696	2.003526101
20200422	1.180784745	1.969256462
20200423	1.269710304	1.806338069
20200424	1.432893289	1.854127298
20200425	0.905757242	1.113625684
20200426	0.886505317	0.208233877
20200427	1.632746608	1.76444392
20200428	1.619911991	1.691792159
20200429	1.598826549	1.716426394
20200430	1.611661166	1.768254611
20200501	1.240374037	0.925402237
20200502	1.245874587	0.89571262
20200503	1.136780345	0.104696282
20200504	2.300146681	1.647170949
20200505	2.005867253	1.45693348
20200506	2.180968097	1.458472143
20200507	2.251558489	1.402740977
20200508	2.299229923	1.532062113
20200509	1.453978731	0.819661416
20200510	1.303630363	0
20200511	2.802530253	1.462737865
20200512	2.768610194	1.399291496
20200513	2.95379538	1.451030583
20200514	2.906123946	1.459810654
20200515	3.321415475	1.717891563
20200516	2.037953795	1.03243466
20200517	1.539237257	0.1616221
20200518	3.865053172	1.587116204
20200519	3.443344334	1.586858197
20200520	3.700953429	1.607981968
20200521	3.757792446	1.569083831
20200522	3.866886689	1.67443686
20200523	2.15713238	1.056715503
20200524	1.793179318	0.147362891
20200525	4.407774111	1.682580512
20200526	4.154748808	1.616447738
20200527	4.273010634	1.650928475
20200528	4.069490282	1.647543105
20200529	4.198753209	1.853873981
20200530	2.652181885	1.195171665
20200531	1.98019802	0.251557231
20200601	5.120095343	1.999302598
20200602	4.658965897	1.89115058
20200603	4.826732673	1.98679002
20200604	4.764393106	1.937346417
20200605	4.948661533	2.078234103
20200606	2.841034103	1.342717506
20200607	2.267143381	0.314720574
20200608	5.975430876	2.027686541
20200609	5.614228089	2.018313836
20200610	5.660982765	2.060442537
20200611	5.404290429	2.040791754
20200612	5.69673634	2.251574432
20200613	3.01980198	1.464056049
20200614	2.523835717	0.418347298
20200615	6.518151815	2.346704112
20200616	6.484231757	2.344890241
20200617	6.303630363	2.338851304
20200618	6.711587825	2.361968769
20200619	6.945361203	2.439436668
20200620	3.890722406	1.671262587
20200621	2.860286029	0.503108208
20200622	9.411441144	2.198656329
20200623	10	2.251754255
20200624	4.362852952	2.400394673